order_id,item_id,date_key,customer_id,product_id,region_id,channel,quantity,unit_price,discount_pct,revenue,cost,profit,order_status
2,3,20250630,502,89,3,Online,1,1041.09,0.0,1041.09,781.4,259.69,Completed
2,4,20250630,502,2,3,Online,1,22157.13,0.0,22157.13,17402.58,4754.55,Completed
3,5,20250506,685,1,1,Wholesale,1,16547.71,0.0,16547.71,12161.38,4386.33,Completed
4,6,20250813,39,8,5,Online,1,12524.21,0.0,12524.21,9751.06,2773.15,Completed
6,8,20231226,705,36,2,Wholesale,1,4356.43,0.0,4356.43,2690.38,1666.05,Completed
7,9,20260526,685,5,1,Retail Store,1,14991.35,0.0,14991.35,11656.14,3335.21,Completed
7,10,20260526,685,43,1,Retail Store,1,854.87,10.0,769.38,503.56,265.82,Completed
8,11,20241226,550,83,3,Online,1,1117.07,5.0,1061.22,822.39,238.83,Completed
10,13,20251212,550,67,3,Retail Store,1,1854.0,0.0,1854.0,995.39,858.61,Completed
10,14,20251212,550,6,3,Retail Store,2,20199.11,0.0,40398.22,31915.16,8483.06,Completed
11,15,20251107,47,45,4,Wholesale,1,3281.6,0.0,3281.6,1958.81,1322.79,Completed
12,16,20240716,536,68,3,Retail Store,1,1113.39,0.0,1113.39,603.8,509.59,Completed
12,17,20240716,536,75,3,Retail Store,1,3268.16,0.0,3268.16,2079.81,1188.35,Completed
13,18,20250817,758,19,1,Online,1,4374.56,0.0,4374.56,2639.94,1734.62,Completed
13,19,20250817,758,40,1,Online,1,4850.53,0.0,4850.53,2996.07,1854.46,Completed
13,20,20250817,758,7,1,Online,3,16362.3,0.0,49086.9,38503.41,10583.49,Completed
15,24,20260220,280,45,2,Wholesale,1,3281.6,0.0,3281.6,1958.81,1322.79,Completed
18,28,20250110,510,58,2,Online,2,1470.73,0.0,2941.46,1501.0,1440.46,Completed
18,29,20250110,510,60,2,Online,2,1873.77,0.0,3747.54,2021.26,1726.28,Completed
19,30,20260503,371,28,2,Online,1,5480.82,10.0,4932.74,3528.95,1403.79,Completed
20,31,20251102,134,23,2,Online,3,5558.81,0.0,16676.43,11550.03,5126.4,Completed
21,32,20250806,125,5,4,Online,1,14991.35,0.0,14991.35,11656.14,3335.21,Completed
25,37,20250707,693,11,2,Online,3,4975.98,0.0,14927.94,12045.51,2882.43,Completed
26,38,20250203,200,26,3,Online,2,5258.5,10.0,9465.3,6691.38,2773.92,Completed
27,39,20260411,73,30,2,Retail Store,1,3612.36,10.0,3251.12,2455.78,795.34,Completed
28,40,20260310,404,7,4,Online,1,16362.3,10.0,14726.07,12834.47,1891.6,Completed
28,41,20260310,404,88,4,Online,1,946.27,0.0,946.27,708.21,238.06,Completed
30,43,20251013,403,81,2,Online,1,692.89,0.0,692.89,498.78,194.11,Completed
30,44,20251013,403,82,2,Online,1,816.9,0.0,816.9,571.67,245.23,Completed
32,46,20260217,751,3,4,Online,1,23743.12,0.0,23743.12,19572.85,4170.27,Completed
35,49,20250912,86,63,2,Retail Store,1,323.05,0.0,323.05,177.87,145.18,Completed
35,50,20250912,86,15,2,Retail Store,1,12126.14,0.0,12126.14,8888.96,3237.18,Completed
35,51,20250912,86,20,2,Retail Store,1,2963.93,0.0,2963.93,2025.77,938.16,Completed
36,52,20241219,645,81,2,Online,2,692.89,5.0,1316.49,997.56,318.93,Completed
