order_id,customer_id,order_date,region_id,channel,status
1,31,2026-03-11,3,Retail Store,Returned
2,502,2025-06-30,3,Online,Completed
3,685,2025-05-06,1,Wholesale,Completed
4,39,2025-08-13,5,Online,Completed
5,479,2025-01-17,5,Retail Store,Cancelled
6,705,2023-12-26,2,Wholesale,Completed
7,685,2026-05-26,1,Retail Store,Completed
8,550,2024-12-26,3,Online,Completed
9,208,2026-05-08,1,Retail Store,Returned
10,550,2025-12-12,3,Retail Store,Completed
11,47,2025-11-07,4,Wholesale,Completed
12,536,2024-07-16,3,Retail Store,Completed
13,758,2025-08-17,1,Online,Completed
14,585,2026-03-21,5,Wholesale,Cancelled
15,280,2026-02-20,2,Wholesale,Completed
16,784,2024-10-15,1,Online,Cancelled
17,457,2025-10-07,1,Online,Cancelled
18,510,2025-01-10,2,Online,Completed
19,371,2026-05-03,2,Online,Completed
20,134,2025-11-02,2,Online,Completed
21,125,2025-08-06,4,Online,Completed
22,66,2025-05-09,2,Retail Store,Returned
23,461,2026-05-07,4,Online,Cancelled
24,670,2025-11-21,4,Online,Returned
25,693,2025-07-07,2,Online,Completed
26,200,2025-02-03,3,Online,Completed
27,73,2026-04-11,2,Retail Store,Completed
28,404,2026-03-10,4,Online,Completed
29,551,2026-01-05,4,Retail Store,Cancelled
30,403,2025-10-13,2,Online,Completed
31,500,2024-08-14,5,Online,Returned
32,751,2026-02-17,4,Online,Completed
33,244,2026-05-18,1,Online,Cancelled
34,330,2026-02-04,2,Retail Store,Cancelled
35,86,2025-09-12,2,Retail Store,Completed
36,645,2024-12-19,2,Online,Completed
37,197,2024-07-07,5,Retail Store,Returned
38,513,2025-10-10,1,Retail Store,Cancelled
39,592,2025-10-21,3,Retail Store,Cancelled
40,665,2024-07-22,2,Retail Store,Completed
41,14,2025-04-12,2,Online,Returned
42,673,2026-06-20,1,Retail Store,Completed
43,432,2025-10-28,1,Online,Completed
44,467,2025-09-13,1,Retail Store,Completed
45,751,2026-03-16,4,Online,Cancelled
46,640,2026-01-02,2,Online,Completed
47,384,2025-09-30,2,Online,Returned
48,29,2025-02-04,4,Online,Completed
49,557,2025-04-25,1,Retail Store,Cancelled
50,667,2023-09-29,4,Wholesale,Completed
51,619,2025-06-01,1,Online,Completed
52,295,2025-11-06,1,Retail Store,Completed
53,507,2026-01-04,4,Retail Store,Cancelled
54,114,2025-08-24,5,Wholesale,Returned
55,510,2025-05-29,2,Online,Cancelled
56,167,2024-06-05,4,Online,Returned
57,267,2025-04-26,2,Wholesale,Completed
